"A company role name is required.","Ein Name für die Unternehmensrolle ist erforderlich."
"The company role name must not exceed 255 characters.","Der Name der Unternehmensrolle darf höchstens 255 Zeichen lang sein."
"A company role with this name already exists in this company.","Eine Unternehmensrolle mit diesem Namen existiert in diesem Unternehmen bereits."
"A company is required for a company role.","Für eine Unternehmensrolle ist ein Unternehmen erforderlich."
"At least one of the given permissions does not exist.","Mindestens eine der angegebenen Berechtigungen existiert nicht."
"The company role was not found.","Die Unternehmensrolle wurde nicht gefunden."
"The company of an existing company role cannot be changed.","Das Unternehmen einer bestehenden Unternehmensrolle kann nicht geändert werden."
"The default flag cannot be cleared. Make another company role the default instead.","Die Standardmarkierung kann nicht entfernt werden. Machen Sie stattdessen eine andere Unternehmensrolle zur Standardrolle."
"The default company role cannot be deleted.","Die Standard-Unternehmensrolle kann nicht gelöscht werden."
"company.company_role.delete.error.has_users","Sie können diese Rolle nicht löschen solange Nutzer vorhanden sind"
